DATETIME ERRORLEVEL TAG VALUE LINE FILE
"2014-12-10 21:29:21" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 150 "[Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2-900x628.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2-646x306.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-620x300.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-150x150.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-115x115.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-1024x1024.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-195x110.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-900x900.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-36x36.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo-646x306.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2-620x300.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2-150x150.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2-115x115.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2-195x110.jpg'
Reverted 'D:\wamp\www\bruttaspose\wp-content\uploads\2014\12\pizzo2-36x36.jpg'
]"
"2014-12-10 21:29:21" DEBUG -- "D:\wamp\www\sitemanager\Executer.php" 17 "svn update D:\wamp\www\bruttaspose --accept theirs-full"
"2014-12-10 21:29:22" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 159 "RETURN FROM UPDATE. Ret code[0]"
"2014-12-10 21:29:22" DEBUG -- "D:\wamp\www\sitemanager\SubversionWrapper.php" 160 "[Updating 'D:\wamp\www\bruttaspose':
At revision 4.
]"
"2014-12-10 21:29:22" DEBUG -- "D:\wamp\www\sitemanager\DBCloner.php" 119 """D:\wamp\bin\mysql\mysql5.1.36\bin\mysql"" --host=localhost --user=root --password= db_bruttaspose < ""D:\wamp\www\bruttaspose\db_bruttaspose.sql"""
